"Table 219.46. Public high school 4-year adjusted cohort graduation rate (ACGR), by selected student characteristics and state or jurisdiction: School years 2011-12 through 2021-22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State or jurisdiction,"Total, ACGR for all students ",,,,,,,,,,,,,,,,"ACGR for students with selected characteristics,\1\ 2020-21",,,,,,,,,,,,,,,"ACGR for students with selected characteristics,\1\ 2021-22",,,,,,,,,,,,,,
,"2011-
12",,"2012-
13",,"2013- 
14","2014-
15","2015-
16","2016-
17","2017-
18",,"2019-
20",,"2020-
21",,"2021-
22",,Race/ethnicity,,,,,,,,,"Students with disabil-
ities\2\",English learner\3\,,"Economi-
cally disadvan-
taged\4\",Homeless enrolled,Foster care,Race/ethnicity,,,,,,,,,"Students with disabil-
ities\2\",English learner\3\,,"Economi-
cally disadvan-
taged\4\",Homeless enrolled,Foster care
,,,,,,,,,,,,,,,,,"American
Indian/
Alaska
Native",,Asian/Pacific Islander\5\,,,Black,Hispanic,White,Two or more races,,,,,,,"American
Indian/
Alaska
Native",,Asian/Pacific Islander\5\,,,Black,Hispanic,White,Two or more races,,,,,,
,,,,,,,,,,"2018-
19",,,,,,,,,Total,Asian,Pacific Islander,,,,,,,,,,,,,Total,Asian,Pacific Islander,,,,,,,,,,
Missouri ,84,,86,,87,88,89,88,89,90,90,,89,,90,,86,,94,---,---,79,86,92,88,77,74,,81,75,70,85,,94,---,---,80,86,92,88,78,73,,82,76,69
Montana,84,,84,,85,86,86,86,86,87,86,,86,,86,,69,,88,91,72,76,79,89,84,77,70,,77,62,81,69,,89,93,75,84,80,89,82,76,67,,76,64,68
Nebraska ,88,,89,,90,89,89,89,89,88,88,,88,,87,,73,,88,89,83,75,79,92,81,65,58,,80,64,43,70,,90,90,>=90,74,77,92,82,66,53,,79,61,54
Nevada ,63,,71,,70,71,74,81,83,84,83,,81,,82,,72,,91,93,84,70,80,85,83,65,71,,79,73,43,69,,91,93,84,68,81,86,82,66,73,,82,67,47
New Hampshire ,86,,87,,88,88,88,89,89,88,88,,87,,88,,88,,92,91,>=50,75,76,88,82,72,65,,72,58,45,72,,95,95,>=50,79,76,89,85,73,68,,73,59,46
New Jersey ,86,,88,,89,90,90,91,91,91,91,,89,,85,,88,,97,97,94,81,82,93,88,67,73,,82,68,47,85,,96,96,90,78,79,89,84,49,70,,79,60,44
New Mexico ,70,,70,,69,69,71,71,74,75,77,,77,,---,,71,,89,---,---,75,76,80,---,68,75,,72,62,37,---,,---,---,---,---,---,---,---,---,---,,---,---,---
New York ,77,,77,,78,79,80,82,82,83,84,,85,,87,,77,,91,91,83,78,77,91,84,62,46,,80,64,49,82,,92,93,85,81,80,92,87,66,61,,82,69,49
North Carolina ,80,,83,,84,86,86,87,86,87,88,,87,,86,,83,,95,---,---,84,82,90,85,71,69,,80,69,57,85,,96,---,---,83,80,90,84,71,67,,80,68,53
North Dakota,87,,88,,87,87,88,87,88,88,89,,87,,85,,70,,82,84,74,81,73,91,---,72,74,,73,61,45,65,,85,88,73,72,74,90,---,66,73,,69,54,55
Ohio ,81,,82,,82,81,84,84,82,82,84,,85,,86,,79,,92,---,---,74,76,89,81,64,70,,75,57,59,76,,94,---,---,75,76,90,82,68,71,,77,59,61
Oklahoma,---,,85,,83,83,82,83,82,85,81,,80,,---,,81,,84,87,71,74,77,82,79,83,81,,83,62,65,---,,---,---,---,---,---,---,---,---,---,,---,---,---
Oregon ,68,,69,,72,74,75,77,79,80,83,,81,,81,,67,,88,92,70,73,77,82,79,66,64,,77,55,48,69,,89,92,75,74,79,83,80,68,65,,81,59,48
Pennsylvania ,84,,86,,85,85,86,87,86,87,87,,87,,87,,76,,94,94,89,76,75,91,81,73,67,,80,69,53,78,,94,94,85,77,76,91,81,74,68,,80,69,49
Rhode Island ,77,,80,,81,83,83,84,84,84,84,,84,,83,,76,,88,88,>=50,82,77,88,76,65,69,,76,61,49,69,,93,93,>=80,80,77,87,78,66,67,,76,64,52
South Carolina,75,,78,,80,80,83,84,81,81,82,,83,,84,,77,,92,---,---,78,81,87,---,57,80,,76,62,38,77,,94,---,---,80,80,87,---,58,78,,76,63,42
South Dakota ,83,,83,,83,84,84,84,84,84,84,,83,,82,,45,,90,92,>=50,84,67,90,74,60,64,,69,40,38,46,,86,89,>=50,76,69,90,73,63,75,,60,45,41
Tennessee ,87,,86,,87,88,89,90,90,91,90,,89,,90,,88,,95,95,89,83,83,93,---,72,71,,82,73,54,89,,96,97,92,86,82,94,---,79,68,,84,74,60
Texas ,88,,88,,88,89,89,90,90,90,---,,90,,90,,87,,97,97,88,86,88,94,91,80,80,,87,79,61,88,,97,97,89,86,88,94,91,79,80,,86,75,62
Utah ,80,,83,,84,85,85,86,87,87,88,,88,,88,,78,,88,92,84,77,81,90,87,73,75,,78,---,---,78,,86,91,80,79,81,91,87,74,76,,78,69,---
Vermont,88,,87,,88,88,88,89,85,85,83,,83,,83,,>=80,,78,‡,‡,69,75,84,83,70,63,,74,57,48,74,,78,‡,‡,73,83,83,80,70,63,,75,58,50
Virginia ,83,,85,,85,86,87,87,88,88,89,,90,,89,,88,,96,96,>=95,86,81,93,92,69,70,,83,65,55,86,,96,97,91,86,78,93,91,70,69,,82,67,60
Washington ,77,,76,,78,78,80,79,87,81,83,,---,,84,,---,,---,---,---,---,---,---,---,---,---,,---,---,---,68,,91,93,79,82,79,85,85,66,71,,77,62,54
West Virginia ,79,,81,,85,87,90,89,90,91,92,,91,,91,,>=80,,>=95,>=95,>=50,87,89,91,90,83,91,,85,77,63,>=80,,>=95,>=95,>=50,87,86,92,89,83,81,,85,79,65
Wisconsin ,88,,88,,89,88,88,89,90,90,90,,90,,90,,78,,92,92,81,67,83,94,84,69,76,,78,64,52,80,,92,92,88,71,82,94,87,73,76,,81,68,59
Wyoming,79,,77,,79,79,80,86,82,82,82,,83,,82,,53,,90,93,>=50,80,78,85,77,65,64,,70,61,55,49,,>=95,‡,‡,80,76,84,78,63,63,,68,57,51
"Bureau of Indian
   Education",---,,---,,---,---,---,---,---,---,65,,‡,,75,,‡,,‡,‡,‡,‡,‡,‡,‡,‡,‡,,‡,‡,‡,75,,---,---,---,---,---,---,---,72,79,,75,72,---
Other jurisdictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Puerto Rico,---,,---,,---,---,---,---,74,77,78,,76,,74,,---,,---,---,---,---,76,74,63,70,75,\13\,75,63,---,---,,---,---,---,---,74,63,57,68,75,\13\,73,55,‡
---Not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
‡Reporting standards not met.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\1\The time when students are identified as having certain characteristics varies by state or jurisdiction. Depending on the state or jurisdiction, a student may be included in a category if the relevant characteristic is reported in 9th-grade data, if the characteristic is reported in 12th-grade data, or if it is reported at any point during the student’s high school years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\2\Students identified as children with disabilities under the Individuals with Disabilities Education Act (IDEA).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\3\Students who met the definition of English learner as outlined in the EDFacts workbook. For more information, see https://www2.ed.gov/about/inits/ed/edfacts/eden-workbook.html.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\4\Students who met the state or jurisdiction criteria for classification as economically disadvantaged. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\5\States either report data for a combined ""Asian/Pacific Islander"" group or report the ""Asian"" and ""Pacific Islander"" groups separately. Total represents either a single value reported by the state for ""Asian/Pacific Islander"" or an aggregation of separate values reported for ""Asian"" and ""Pacific Islander."" ""Asian/Pacific Islander"" includes the ""Filipino"" group, which only California and Hawaii report separately.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\6\Includes imputed data for Idaho, Kentucky, and Oklahoma. Data were not available for these states because they had not yet started reporting ACGR data in 2011-12.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\7\Includes imputed data for Idaho. Data were not available for Idaho because this state had not yet started reporting ACGR data in 2012-13.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\8\Includes imputed data for Illinois and Texas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\9\Includes imputed data for Illinois and Washington.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\10\Includes imputed data for New Mexico and Oklahoma.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\11\Estimated assuming a count of zero American Indian/Alaska Native students for Hawaii.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\12\Use data with caution. The Alabama State Department of Education has indicated that their ACGR data for 2010-11 through 2013-14 was misstated. For more information, please see https://www.oversight.gov/report/ed/calculating-and-reporting-graduation-rates-alabama. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\13\Data for Puerto Rico are for students with ""limited Spanish proficiency"" or Spanish learners, instead of ""English Learners,"" as Spanish is the language of instruction in Puerto Rico.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: The adjusted cohort graduation rate (ACGR) is the percentage of public high school freshmen who graduate with a regular diploma or a state-defined alternate high school diploma for students with the most significant cognitive disabilities within 4 years of starting 9th grade. Students who are entering 9th grade for the first time form a cohort for the graduating class. This cohort is ""adjusted"" by adding any students who subsequently transfer into the cohort and subtracting any students who subsequently transfer out, emigrate to another country, or die. Before 2017-18, the definition of ACGR included regular high school diplomas only. Values preceded by the "">="" symbol have been ""blurred"" (rounded) to protect student privacy. Race categories exclude persons of Hispanic ethnicity. In 2019-20, some states may have changed their requirements for a regular high school diploma to account for the impact of the coronavirus pandemic. These changes are at the discretion of each state but may have resulted in less comparability in the ACGRs between 2019-20 and other school years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, EDFacts file 150, Data Group 695, and EDFacts file 151, Data Group 696, 2011-12 through 2021-22. (This table was prepared January 2024.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
