State Name,State Abbr [State] Latest available year,ANSI/FIPS State Code [State] Latest available year,Grade 12 Students - Two or More Races [State] 2024-25,Grade 12 Students - Two or More Races [State] 2023-24,Grade 12 Students - Two or More Races [State] 2022-23,Grade 12 Students - Two or More Races [State] 2021-22,Grade 12 Students - Two or More Races [State] 2020-21,Grade 12 Students - Two or More Races [State] 2019-20,Grade 12 Students - Nat. Hawaiian or Other Pacific Isl. [State] 2024-25,Grade 12 Students - Nat. Hawaiian or Other Pacific Isl. [State] 2023-24,Grade 12 Students - Nat. Hawaiian or Other Pacific Isl. [State] 2022-23,Grade 12 Students - Nat. Hawaiian or Other Pacific Isl. [State] 2021-22,Grade 12 Students - Nat. Hawaiian or Other Pacific Isl. [State] 2020-21,Grade 12 Students - Nat. Hawaiian or Other Pacific Isl. [State] 2019-20,Grade 12 Students - White [State] 2024-25,Grade 12 Students - White [State] 2023-24,Grade 12 Students - White [State] 2022-23,Grade 12 Students - White [State] 2021-22,Grade 12 Students - White [State] 2020-21,Grade 12 Students - White [State] 2019-20,Grade 12 Students - Black or African American [State] 2024-25,Grade 12 Students - Black or African American [State] 2023-24,Grade 12 Students - Black or African American [State] 2022-23,Grade 12 Students - Black or African American [State] 2021-22,Grade 12 Students - Black or African American [State] 2020-21,Grade 12 Students - Black or African American [State] 2019-20,Grade 12 Students - Hispanic [State] 2024-25,Grade 12 Students - Hispanic [State] 2023-24,Grade 12 Students - Hispanic [State] 2022-23,Grade 12 Students - Hispanic [State] 2021-22,Grade 12 Students - Hispanic [State] 2020-21,Grade 12 Students - Hispanic [State] 2019-20,Grade 12 Students - Asian or Asian/Pacific Islander [State] 2024-25,Grade 12 Students - Asian or Asian/Pacific Islander [State] 2023-24,Grade 12 Students - Asian or Asian/Pacific Islander [State] 2022-23,Grade 12 Students - Asian or Asian/Pacific Islander [State] 2021-22,Grade 12 Students - Asian or Asian/Pacific Islander [State] 2020-21,Grade 12 Students - Asian or Asian/Pacific Islander [State] 2019-20,Grade 12 Students - American Indian/Alaska Native [State] 2024-25,Grade 12 Students - American Indian/Alaska Native [State] 2023-24,Grade 12 Students - American Indian/Alaska Native [State] 2022-23,Grade 12 Students - American Indian/Alaska Native [State] 2021-22,Grade 12 Students - American Indian/Alaska Native [State] 2020-21,Grade 12 Students - American Indian/Alaska Native [State] 2019-20,Total Grade 12 - female [State] 2024-25,Total Grade 12 - female [State] 2023-24,Total Grade 12 - female [State] 2022-23,Total Grade 12 - female [State] 2021-22,Total Grade 12 - female [State] 2020-21,Total Grade 12 - female [State] 2019-20,Total Grade 12 - male [State] 2024-25,Total Grade 12 - male [State] 2023-24,Total Grade 12 - male [State] 2022-23,Total Grade 12 - male [State] 2021-22,Total Grade 12 - male [State] 2020-21,Total Grade 12 - male [State] 2019-20,Pupil/Teacher Ratio [State] 2024-25,Pupil/Teacher Ratio [State] 2023-24,Pupil/Teacher Ratio [State] 2022-23,Pupil/Teacher Ratio [State] 2021-22,Pupil/Teacher Ratio [State] 2020-21,Pupil/Teacher Ratio [State] 2019-20,Full-Time Equivalent (FTE) Teachers [State] 2024-25,Full-Time Equivalent (FTE) Teachers [State] 2023-24,Full-Time Equivalent (FTE) Teachers [State] 2022-23,Full-Time Equivalent (FTE) Teachers [State] 2021-22,Full-Time Equivalent (FTE) Teachers [State] 2020-21,Full-Time Equivalent (FTE) Teachers [State] 2019-20,Secondary Teachers [State] 2024-25,Secondary Teachers [State] 2023-24,Secondary Teachers [State] 2022-23,Secondary Teachers [State] 2021-22,Secondary Teachers [State] 2020-21,Secondary Teachers [State] 2019-20,Instruction Expenditures - Salaries (E11) [State Finance] 2021-22,Instruction Expenditures - Salaries (E11) [State Finance] 2020-21,Instruction Expenditures - Salaries (E11) [State Finance] 2019-20,Instruction Expenditures - Tuition (E14) [State Finance] 2021-22,Instruction Expenditures - Tuition (E14) [State Finance] 2020-21,Instruction Expenditures - Tuition (E14) [State Finance] 2019-20,Total Salary Expenditures (E11+TE21 +E3A11+E3B11) [State Finance] 2021-22,Total Salary Expenditures (E11+TE21 +E3A11+E3B11) [State Finance] 2020-21,Total Salary Expenditures (E11+TE21 +E3A11+E3B11) [State Finance] 2019-20
MARYLAND,MD ,24,2861,2759,2594,2581,2665,2434,103,97,98,65,82,76,21822,21911,22574,23619,24149,24317,20969,20002,20032,20131,20416,20180,13060,11215,10831,9771,9696,9620,4809,4647,4694,4568,4638,4373,152,140,146,107,140,154,31377,30046,30346,30408,30718,30383,32399,30725,30623,30434,31068,30771,14.14,14.18,14.3,14.12,14.17,14.79,63070.83,62754.24,62236.47,62442.65,62276.32,61484.58,25862.91,25916.71,25525.05,25526.05,25263.93,24626.28,6360043768,5889845349,5741218513,279865471,293600361,291044378,9337748442,8629501852,8470911565
MASSACHUSETTS,MA ,25,2603,2406,2424,2420,2191,2006,67,48,61,67,52,61,38029,38674,40887,42921,44296,44599,7334,6530,6699,6742,6663,6543,17163,15736,15107,14607,13586,12737,5291,4928,4883,5014,4994,4786,166,143,171,179,169,144,34564,33599,34297,35244,35438,35006,36089,34866,35935,36706,36513,35870,11.86,11.79,12,12.07,12.27,12.77,77220.85,77630.27,76977.64,76328.75,75146.72,75152.19,24560.86,24496.69,24133.91,23925.62,23370.6,26465.64,7965977649,7541799880,7381786435,939330929,939853678,939789576,11813532803,11193973706,10927357853
MICHIGAN,MI ,26,4753,4535,4082,4105,3687,3430,100,102,76,115,114,101,74015,73709,74743,78562,78711,79650,17407,16441,16914,17511,17385,17352,10172,9330,9483,8922,8523,8022,4230,4124,4153,4262,4186,4177,721,678,696,678,683,745,55230,54717,55063,56788,56357,56600,56168,54202,55084,57367,56932,56877,16.47,16.58,16.7,16.7,17.01,17.63,86462.42,86021.53,85879.91,86257.71,84317.37,84837.94,36804.48,36492.27,36272.61,36617.09,32627.35,32820.92,5832450315,5460378660,5456347725,264857,254296,231593,9100812821,8425352746,8376818255
MINNESOTA,MN ,27,4391,3920,3700,3569,3008,2539,70,63,74,56,71,59,46426,46558,46779,47958,48346,47644,9672,8907,8773,9031,8683,8490,9254,8505,7737,7621,6936,6527,5179,4863,4892,4778,4866,4893,1323,1291,1246,1237,1247,1150,37165,35847,35785,36165,35578,34380,39150,38260,37416,38085,37579,36922,14.96,14.7,15.5,15.64,15.99,16.06,58560.29,59181.41,56123.8,55662.07,54535.32,55630.45,23505.98,23686.9,21740.62,21457.45,20191.39,22887.56,5678230642,5432963955,5302828669,105628847,96933035,98599101,7735582881,7334670034,7164118124
MISSISSIPPI,MS ,28,1381,783,714,580,416,338,20,12,11,19,19,15,12239,11974,12532,12871,12931,13102,14502,13540,13425,13396,13608,14118,1860,1284,1191,1142,1065,895,379,383,369,369,378,350,71,81,75,79,88,77,15293,14260,14319,14442,14433,14883,15159,13797,13998,14014,14072,14012,13.48,12.96,13.04,13.95,14.06,14.76,32037.45,33694.44,33767.64,31685.93,31479.63,31578.21,13367.23,14004.81,14026.09,13689.15,13379.73,13094.92,1830337928,1766181317,1761415288,10844674,10609434,11839992,2776020312,2654144427,2651822785
MISSOURI,MO ,29,3264,2795,2754,2416,2211,1942,235,255,209,206,175,171,46026,45622,45370,46095,46367,46114,10059,9554,8963,9197,9558,9415,5746,5151,4869,4433,4284,3977,1584,1518,1496,1474,1463,1437,254,254,286,291,230,267,33037,31800,31350,31383,31433,30894,34131,33349,32597,32729,32855,32429,12.63,12.77,12.78,12.78,12.8,13.17,70411.08,69785.52,69837.57,69568.94,68923.84,69144.54,33913.02,33728.51,34008.67,33848.11,33475.11,33268.16,4314927581,4160146586,4048820736,7845219,4532816,926331,6770743678,6452856069,6314986130
MONTANA,MT ,30,440,416,355,285,289,306,20,29,18,27,18,17,8071,8248,7944,8083,7879,7803,79,84,79,113,91,85,606,583,569,466,445,439,87,93,113,111,96,103,948,933,988,992,975,923,4964,5008,4982,4967,4786,4779,5287,5378,5084,5110,5007,4897,13.72,13.79,13.66,13.6,13.37,14.04,10725.63,10828.28,11035.53,11041.84,10941.68,10675.42,3218.92,3240.32,3280.36,3244.91,3229.97,3126.53,784194765,752940928,710526834,1149575,1210027,1444559,1165963214,1119399042,1061384630
NEBRASKA,NE ,31,1022,979,1005,951,896,850,46,45,44,33,35,38,15389,15884,16511,16788,16633,16575,1837,1848,1860,1752,1773,1674,5691,5564,5189,5042,4822,4777,693,722,722,703,670,700,323,341,317,327,343,310,11737,12221,12227,12268,11987,11995,13264,13162,13421,13328,13185,12929,13.66,13.69,13.77,13.52,13.56,13.73,24201.04,24052.26,23910.92,24229.69,23943.47,24028.25,8568.21,8584.04,8482.59,8534.93,8444.48,8471.79,1872698070,1807813738,1746623247,5144036,120182,443845,2660536219,2568486801,2487441526
NEVADA,NV ,32,2611,2387,2207,2103,2054,1934,650,589,570,571,529,530,10215,10175,10276,10581,10874,10980,4359,4033,3950,3795,3835,3596,17603,16329,15736,15259,14851,14498,2404,2334,2351,2344,2392,2376,268,299,250,290,282,277,18698,17749,17389,17191,17012,16645,19412,18397,17951,17752,17805,17546,19.52,21.28,20.98,–,20.31,19.48,24464.9,22532.96,23076.46,–,23746,25508.5,10143.58,8689.34,8807.63,–,10252,9926,1996369057,1836424953,1793178629,3616410,4214772,4031400,3047053292,2802946384,2744644109
NEW HAMPSHIRE,NH ,33,523,498,455,405,373,317,12,7,11,17,15,12,10652,10847,10919,11409,11472,11666,251,280,268,282,316,294,940,776,714,611,651,602,454,440,473,477,485,451,27,26,39,30,35,39,6216,6259,6290,6481,6441,6492,6643,6615,6589,6750,6906,6889,11.37,11.49,11.47,11.62,11.42,12.07,14438.3,14494.4,14731.4,14626.2,14799.9,14694.5,4355.1,4737,4364.7,4388.5,4559.2,4878.9,1193367877,1163015697,1141871378,176850381,174107639,172528650,1684084489,1633329698,1602944635
NEW JERSEY,NJ ,34,2495,2339,1994,1740,1556,1287,210,328,201,211,225,214,43524,44596,43028,45260,46730,47082,15871,14568,13289,13400,14170,13813,35962,32638,29197,27934,26422,24841,11399,11082,10565,10629,10611,10152,161,164,122,114,109,106,52661,50682,48630,49099,49366,48105,56961,55033,49766,50189,50457,49390,11.84,11.8,11.76,11.72,11.79,12.06,117867.76,118031.4,117661.34,117126.8,116530.03,117059.8,36647.16,36763.17,36804.18,36995.81,36723.24,37579.3,10714514090,10126087844,10063819356,814954537,853066282,865282075,16574650527,15539542761,15548857712
NEW MEXICO,NM ,35,613,446,435,412,414,389,25,35,29,24,29,25,4684,4792,4720,4807,4917,5032,406,392,372,382,378,443,14488,13283,13393,13345,13562,13198,303,315,298,301,329,305,2512,2503,2367,2439,2339,2292,11248,11013,10952,10948,11160,10893,11783,10753,10662,10762,10808,10791,12.39,14.43,14.6,14.75,14.68,15.16,24781.09,21595.7,21571.55,21475.09,21576.65,21849.97,10137.56,8407.77,8401.03,8382.28,8303.01,8290.64,1536826063,1442754434,1431186103,326765,975491,0,2372259097,2208651397,2209194678
NEW YORK,NY ,36,5450,4796,4739,4185,3760,3295,472,551,469,489,510,487,77266,79027,80697,85181,88347,88820,30646,29411,29810,30632,31366,32199,56328,52799,50317,48596,48581,47469,20101,19009,18707,18945,18827,18645,1232,1256,1296,1431,1338,1184,93460,91189,90640,92795,94660,94976,98035,95660,95395,96664,98069,97123,11.57,11.65,11.74,11.85,12.21,12.39,218423.93,217521.63,215761,215092.2,213537.44,217398.4,99612.96,99107.6,98812.81,98285.94,95932.49,99072.07,27540966016,25947640292,26040438496,3016368083,2924850034,2926145559,35675898946,33644297244,33786209638
NORTH CAROLINA,NC ,37,5281,4893,4516,4269,4477,4733,146,143,131,103,114,136,50333,49831,50939,49774,54727,54103,25798,24481,24009,22346,25078,25461,22462,20170,18805,16091,17236,16574,4508,4211,3818,3578,3699,3531,1029,927,951,1007,1107,1125,54219,52310,51484,48510,53290,52867,55338,52346,51685,48658,53148,52796,15.99,15.29,15.42,14.95,14.98,15.48,97256.77,100994.13,99979.81,102033.6,101057.02,100776.9,32945.38,29534.62,29224.74,29487.66,29074.93,29056.69,7654237695,6594875216,6475312158,0,0,0,10969331738,9434588601,9344378307
NORTH DAKOTA,ND ,38,339,265,245,231,198,144,19,13,20,20,17,21,6215,6151,6013,5975,6045,5837,452,428,389,364,366,402,539,476,421,419,374,347,126,104,125,129,129,154,677,615,627,586,565,601,4082,3872,3760,3848,3734,3703,4285,4180,4080,3876,3960,3803,11.51,12.35,12.37,12.26,12.14,12.52,10410.87,9639.1,9581.08,9530.63,9472.82,9283.6,3310.54,3169.53,3117.17,3122.15,3118.07,3076.07,731383921,712519332,670898825,805930,570429,586621,1066527646,1033892401,981704585
OHIO,OH ,39,6772,6258,6011,6047,5323,5375,120,123,118,137,99,95,92023,92172,92949,95348,84509,85024,18770,19166,18830,19007,18064,17806,9162,8621,7940,7344,6255,5932,3667,3465,3567,3354,3163,3131,202,169,163,181,154,154,63974,63671,63501,64303,58158,58747,66742,66303,66077,67115,59409,58770,16.6,16.64,16.42,16.93,16.27,15.94,100362.85,100659.1,102322.67,99442.04,101147.65,105997.9,47034.85,47448.88,48026.12,46495.24,47211.75,48889.43,9352907246,8813343919,8624909409,306004374,500707459,481120872,14061740579,13131525691,12939161868
OKLAHOMA,OK ,40,6063,5370,4853,4648,4327,3571,170,179,154,140,145,122,22424,21854,21974,22032,22580,22361,3917,3787,3613,3853,3793,3929,10311,9239,8321,8347,7778,7162,1220,1076,1012,1134,991,977,5238,5342,5288,5526,5788,6157,24302,23277,22316,22408,22460,21997,25041,23570,22899,23272,22942,22282,16.2,16.34,16.65,16.21,16.1,16.25,43050.01,42751.11,42124.4,43090,43110.11,43315.18,19497.63,19367.41,18986.8,19379.52,18922.17,18902.44,2770266038,2717194243,2629816376,705451,697143,796341,4166906668,4042622419,3902431763
OREGON,OR ,41,3185,3020,2914,2990,2901,2629,372,397,398,375,336,331,26483,26405,26368,27681,27830,28305,1246,1142,1164,1148,1234,1235,12575,12081,11500,11166,10907,10783,2052,2049,1901,2028,1953,2002,581,575,601,602,583,619,22061,21857,21350,22047,21876,21901,24433,23812,23496,23943,23868,24003,17.42,17.61,17.87,17.48,18.22,20.2,31293.85,31082.71,30906.33,31628.81,30785.93,30237.56,9504.72,9464.94,9334.04,9435.85,9105.64,8957.23,2805726771,2532799649,2457457805,23925495,23140694,24440155,4452530091,3957934772,3822229941
PENNSYLVANIA,PA ,42,5946,5518,4755,4276,3784,3377,151,132,103,113,117,112,86688,87030,87025,90080,91184,90702,19225,18532,18579,18333,18261,17970,19395,17338,16296,15371,14473,13783,6418,6054,5818,5814,5587,5362,255,218,218,209,216,217,66427,65099,64300,65216,65270,63967,71651,69723,68494,68980,68352,67556,13.05,13.07,13.33,13.42,13.63,13.94,129658.28,129545.28,127037.02,126344.5,125028.25,124293.9,55707.05,54858.22,53655.74,54104.32,53363.09,52939.65,10741875289,10315137065,10146621506,425004472,399853792,422014331,15325223443,14622721337,14440405391
RHODE ISLAND,RI ,44,587,421,422,432,380,370,15,15,11,25,13,16,5816,5879,6024,6304,6471,6461,1122,1007,1047,1047,1016,976,3395,3065,2935,2985,2888,2683,348,330,310,349,319,353,77,72,75,97,73,87,5348,5131,5264,5351,5384,5181,6012,5658,5560,5888,5776,5765,12.88,12.68,12.74,12.86,13.05,13.41,10557,10735,10785.53,10774.3,10669.04,10703.64,3551,3567,3577.45,3584.81,3534.87,3578.79,1014519976,966085570,960788567,77462529,74047788,81611038,1536704502,1455654803,1436813471
SOUTH CAROLINA,SC ,45,2545,2374,2043,1998,1794,1717,68,55,66,77,66,56,27373,27078,26507,26692,27368,26865,16661,15414,15053,14692,15163,15643,7256,6346,5614,5036,4756,4269,1120,1038,1030,1008,938,944,147,134,153,162,141,132,27616,26639,25597,24849,25346,24965,27554,25800,24869,24816,24880,24661,13.76,13.87,14.11,14.07,14.28,14.69,57885.52,57242.82,55946.58,55488.77,53702.97,53556,17395.12,17160.97,16806.6,16673.3,16290.73,15652,3533624619,3354485602,3198816923,42718,284263,226420,5553948085,5249601347,5034255918
SOUTH DAKOTA,SD ,46,470,443,372,346,248,238,15,14,13,6,7,8,7589,7350,7206,7302,7039,6998,318,294,257,269,280,249,775,634,606,495,454,430,174,164,157,154,172,171,734,679,632,692,612,606,4825,4681,4424,4509,4318,4328,5250,4897,4819,4755,4494,4372,13.79,13.71,13.83,13.83,13.93,14.09,10226.78,10315.3,10261.46,10216.25,10020.18,9929.61,2630.25,2639.06,2605.41,2583.77,2522.01,2470.23,642029396,617322796,586088180,13521318,14078247,13863105,957273632,912161848,865576413
TENNESSEE,TN ,47,2839,2525,2335,1953,1890,1465,81,73,72,70,80,80,42218,42187,42681,43501,43744,44104,15339,14831,14387,14239,14587,14845,11000,9567,8736,7437,6699,6339,1607,1621,1545,1577,1523,1433,135,117,118,114,107,122,36090,34786,34472,33907,33837,33658,37129,36135,35402,34984,34793,34730,–,15.13,15.3,15.39,15.24,15.66,–,66416.76,65780.77,64747.23,64667.05,64784.2,–,19772.02,19695.14,19236.5,19108.78,18947.4,4380009005,4225689860,4055707393,0,0,0,6542093592,6235811030,6009713326
TEXAS,TX ,48,10470,9416,9022,8500,7971,7195,611,583,554,553,565,558,102083,100169,102205,102841,105179,104539,48834,45347,44856,44049,44667,43595,204559,191580,189672,186352,186849,180170,21316,19857,19279,18933,18354,17297,1200,1149,1130,1128,1215,1192,191892,182456,181446,180349,181419,175988,197181,185645,185272,182007,183381,178558,14.94,14.69,14.78,14.63,14.49,15.08,371143.54,376581.91,373332.35,371002.3,370718.5,364478.4,160663.92,165814.71,164883.51,164213.1,162631.37,159154.3,27656228335,26238573126,25152105810,86424797,86392652,84468170,42031747957,39456721061,38027739276
UTAH,UT ,49,1810,1744,1450,1397,1335,1190,782,742,842,822,825,777,38320,37702,36928,36982,37114,35778,752,708,718,739,759,783,10627,9702,9509,9145,8750,8230,845,891,912,925,957,908,500,459,445,513,552,479,25711,25069,24722,24787,24507,23514,27925,26879,26082,25736,25785,24631,21.59,20.57,22.2,22.39,–,22.63,31704.66,33536.73,31163.98,30860.44,–,30255.81,13721.28,15661.73,13613.22,13555.6,–,12867.35,2527747144,2405526777,2216388745,1782195,1611191,217999,3746489677,3555649472,3278888270
VERMONT,VT ,50,208,200,187,162,143,103,7,5,9,7,11,8,4991,4743,4997,5112,5275,5180,176,157,163,155,134,156,185,140,138,165,109,144,125,118,139,149,168,146,12,14,20,23,24,21,2671,2534,2613,2650,2740,2757,3033,2843,3040,3123,3124,3001,10.33,10.36,10.54,10.54,10.31,10.79,7881.66,7962.11,7933.86,7965.36,7989.43,8042.2,2446.33,2518.46,2483.19,2462.7,2555.06,2637.89,680329854,646346476,652218804,104594261,105960577,111168625,1071356483,1004623476,1002107619
VIRGINIA,VA ,51,5751,5478,5213,5058,4825,4591,148,168,161,162,187,149,44011,44172,45254,46866,47470,47592,20261,19774,19652,19534,20114,19982,18651,16936,16100,14937,14218,14137,8100,7832,7682,7723,7384,7262,251,235,246,195,229,249,46985,46221,45871,46097,46265,45869,50188,48374,48437,48378,48162,48093,13.33,13.39,13.6,14.38,14.38,14.88,94345.41,94034.91,92651,86917,87049.37,87146.89,51210.94,51596.08,49919.25,49523,49396.84,49894.74,7328210913,6859089465,6813334766,3976200,3433362,4935110,11244077701,10383105484,10345133041
WASHINGTON,WA ,53,7613,7201,6765,6889,6715,6431,1341,1193,1205,1166,1077,1008,45446,44916,45130,47109,49001,49844,4834,4519,4304,4475,4280,4381,25315,23900,22348,21959,20847,20161,8026,7621,7612,7648,7403,7255,1096,1037,1012,1059,1151,1179,44897,43455,42581,43691,43840,43855,48774,46932,45795,46614,46634,46404,17.86,17.49,17.23,17.99,17.59,18.36,61268.53,62551.8,63271.68,60147.42,61810.07,62212.47,26534.38,26872.45,27086.41,26796.1,25698.17,25307.79,7050764399,6537695969,6405869913,13583352,12983782,16465717,11135971944,10211690248,10098693746
WEST VIRGINIA,WV ,54,680,501,516,472,425,356,9,11,8,8,9,9,15349,14893,15629,15910,15922,16112,778,689,735,721,778,780,462,404,430,347,318,301,159,129,154,116,134,151,13,23,17,21,19,18,8505,8076,8461,8625,8662,8655,8945,8574,9028,8970,8943,9072,13.4,13.21,13.46,13.5,13.63,13.98,18076.83,18688.06,18669.66,18723.58,18629.99,18853.7,8590.47,8988.92,8974.08,9016.4,8953.87,8981.06,1213067313,1172685118,1175303894,8787806,16176451,6140321,1905818383,1838475406,1832430428
WISCONSIN,WI ,55,3045,2698,2542,2487,2215,2064,44,63,52,50,44,38,45836,45070,46459,47839,47383,47634,5537,5023,5108,5220,5161,5399,9238,8878,8424,7905,7685,7276,2707,2619,2601,2642,2511,2483,690,700,738,715,710,756,32416,31404,31938,32314,31796,31778,34681,33647,33986,34544,33913,33872,13.59,13.66,13.71,13.75,13.81,14.3,59308.13,59623.02,60011.17,60337.39,60091.66,59801.12,29388.19,29430.52,29767.76,30017.63,29571.02,29345.41,4270293441,4162663986,4093554548,282775876,277463423,253638484,6340533550,6112012136,5988392945
WYOMING,WY ,56,221,182,183,176,194,138,9,8,7,7,14,10,5341,5302,5170,5168,5157,5083,53,55,58,65,56,55,1052,982,1002,887,895,853,64,60,66,67,66,68,158,152,172,183,160,187,3307,3295,3338,3163,3136,3140,3591,3446,3320,3390,3406,3254,12.11,12.22,12.65,12.74,12.33,12.8,7426.8,7451.54,7312.03,7307.74,7521.73,7391.19,3516.66,3512.34,3449.84,3470.76,3559.33,3467.01,611159875,606514276,585848590,2106483,2582540,3245809,944530924,929716339,896122363
