State Name,State Abbr [State] Latest available year,ANSI/FIPS State Code [State] Latest available year,Grade 12 Students - Two or More Races [State] 2024-25,Grade 12 Students - Two or More Races [State] 2023-24,Grade 12 Students - Two or More Races [State] 2022-23,Grade 12 Students - Two or More Races [State] 2021-22,Grade 12 Students - Two or More Races [State] 2020-21,Grade 12 Students - Two or More Races [State] 2019-20,Grade 12 Students - Nat. Hawaiian or Other Pacific Isl. [State] 2024-25,Grade 12 Students - Nat. Hawaiian or Other Pacific Isl. [State] 2023-24,Grade 12 Students - Nat. Hawaiian or Other Pacific Isl. [State] 2022-23,Grade 12 Students - Nat. Hawaiian or Other Pacific Isl. [State] 2021-22,Grade 12 Students - Nat. Hawaiian or Other Pacific Isl. [State] 2020-21,Grade 12 Students - Nat. Hawaiian or Other Pacific Isl. [State] 2019-20,Grade 12 Students - White [State] 2024-25,Grade 12 Students - White [State] 2023-24,Grade 12 Students - White [State] 2022-23,Grade 12 Students - White [State] 2021-22,Grade 12 Students - White [State] 2020-21,Grade 12 Students - White [State] 2019-20,Grade 12 Students - Black or African American [State] 2024-25,Grade 12 Students - Black or African American [State] 2023-24,Grade 12 Students - Black or African American [State] 2022-23,Grade 12 Students - Black or African American [State] 2021-22,Grade 12 Students - Black or African American [State] 2020-21,Grade 12 Students - Black or African American [State] 2019-20,Grade 12 Students - Hispanic [State] 2024-25,Grade 12 Students - Hispanic [State] 2023-24,Grade 12 Students - Hispanic [State] 2022-23,Grade 12 Students - Hispanic [State] 2021-22,Grade 12 Students - Hispanic [State] 2020-21,Grade 12 Students - Hispanic [State] 2019-20,Grade 12 Students - Asian or Asian/Pacific Islander [State] 2024-25,Grade 12 Students - Asian or Asian/Pacific Islander [State] 2023-24,Grade 12 Students - Asian or Asian/Pacific Islander [State] 2022-23,Grade 12 Students - Asian or Asian/Pacific Islander [State] 2021-22,Grade 12 Students - Asian or Asian/Pacific Islander [State] 2020-21,Grade 12 Students - Asian or Asian/Pacific Islander [State] 2019-20,Grade 12 Students - American Indian/Alaska Native [State] 2024-25,Grade 12 Students - American Indian/Alaska Native [State] 2023-24,Grade 12 Students - American Indian/Alaska Native [State] 2022-23,Grade 12 Students - American Indian/Alaska Native [State] 2021-22,Grade 12 Students - American Indian/Alaska Native [State] 2020-21,Grade 12 Students - American Indian/Alaska Native [State] 2019-20,Total Grade 12 - female [State] 2024-25,Total Grade 12 - female [State] 2023-24,Total Grade 12 - female [State] 2022-23,Total Grade 12 - female [State] 2021-22,Total Grade 12 - female [State] 2020-21,Total Grade 12 - female [State] 2019-20,Total Grade 12 - male [State] 2024-25,Total Grade 12 - male [State] 2023-24,Total Grade 12 - male [State] 2022-23,Total Grade 12 - male [State] 2021-22,Total Grade 12 - male [State] 2020-21,Total Grade 12 - male [State] 2019-20,Pupil/Teacher Ratio [State] 2024-25,Pupil/Teacher Ratio [State] 2023-24,Pupil/Teacher Ratio [State] 2022-23,Pupil/Teacher Ratio [State] 2021-22,Pupil/Teacher Ratio [State] 2020-21,Pupil/Teacher Ratio [State] 2019-20,Full-Time Equivalent (FTE) Teachers [State] 2024-25,Full-Time Equivalent (FTE) Teachers [State] 2023-24,Full-Time Equivalent (FTE) Teachers [State] 2022-23,Full-Time Equivalent (FTE) Teachers [State] 2021-22,Full-Time Equivalent (FTE) Teachers [State] 2020-21,Full-Time Equivalent (FTE) Teachers [State] 2019-20,Secondary Teachers [State] 2024-25,Secondary Teachers [State] 2023-24,Secondary Teachers [State] 2022-23,Secondary Teachers [State] 2021-22,Secondary Teachers [State] 2020-21,Secondary Teachers [State] 2019-20,Instruction Expenditures - Salaries (E11) [State Finance] 2021-22,Instruction Expenditures - Salaries (E11) [State Finance] 2020-21,Instruction Expenditures - Salaries (E11) [State Finance] 2019-20,Instruction Expenditures - Tuition (E14) [State Finance] 2021-22,Instruction Expenditures - Tuition (E14) [State Finance] 2020-21,Instruction Expenditures - Tuition (E14) [State Finance] 2019-20,Total Salary Expenditures (E11+TE21 +E3A11+E3B11) [State Finance] 2021-22,Total Salary Expenditures (E11+TE21 +E3A11+E3B11) [State Finance] 2020-21,Total Salary Expenditures (E11+TE21 +E3A11+E3B11) [State Finance] 2019-20
GEORGIA,GA ,13,4883,4449,4150,4047,3929,3711,119,133,146,131,111,146,45086,45361,46167,47578,48726,48663,44940,42158,41360,40790,41666,41381,22996,21220,19494,18694,18116,17377,6701,6144,6078,6039,5866,5463,248,227,245,243,203,234,62684,59935,59189,59403,60030,59261,62289,59757,58451,58119,58587,57714,14.06,14.15,14.43,14.53,14.65,15.02,124124.7,123640.1,121301.1,119831,118059.1,117836.9,48639.6,48676.9,47852.7,47753.5,46642.9,46322,9044803158,8293580527,8029858061,11164801,13777923,6230779,13632073180,12362643511,12030356492
HAWAII,HI ,15,2001,1765,1014,1019,1110,984,2615,2551,3227,3192,3160,3335,1082,1144,1237,1297,1314,1318,147,149,178,139,171,223,1973,1729,1060,1006,977,930,3630,3712,4228,4220,4423,4292,17,18,30,25,30,32,5538,5358,5344,5287,5408,5461,5927,5710,5630,5611,5777,5653,13.68,13.98,14.2,14.4,14.53,14.82,12215.45,12112.91,11983.69,12026.2,12145.4,12220.77,5750.25,5665.41,5613.5,5580.75,5615.2,5593.5,1074097360,1076210870,1060291766,4764384,4192700,3343135,1593205184,1601481173,1552131862
IDAHO,ID ,16,804,775,703,692,633,533,81,67,71,77,74,62,17989,17574,17522,17031,17131,16757,310,243,298,296,263,291,4784,4472,4419,4103,3922,3866,305,274,353,317,302,316,216,250,247,258,263,253,12049,11653,11545,11152,11025,10815,12440,12002,12068,11622,11563,11263,17.74,17.61,17.52,17.52,17.49,18.08,17787.13,17964.91,18120.62,17934.89,17582.26,17206.53,7828.48,7888.39,8425.46,8081.22,7664.48,7812.61,1198190125,1127408590,1060936489,1884571,1535351,1613795,1750126291,1630037775,1540684871
ILLINOIS,IL ,17,5344,4929,4779,4905,4617,4353,154,132,178,147,154,149,67561,67628,69959,73211,73911,73290,23195,21968,21908,22913,23299,22773,43734,41464,40707,40232,39186,37419,8597,8189,8354,8278,8225,7706,361,325,342,313,386,356,71903,70110,70499,72520,72575,71530,77043,74525,75728,77479,77203,74516,13.37,13.53,13.68,13.41,–,14.63,137811.86,136492.2,135363.07,139378.4,–,132814.8,42044.51,42065.71,41396,42157.8,–,40629.05,11875784772,11272238490,10991903302,353643656,360819459,364484788,17525532866,16561213441,16199740664
INDIANA,IN ,18,3987,3828,3684,3529,3352,3285,87,70,84,65,63,60,52257,51548,52146,53209,53214,52873,11924,10823,10566,10016,9614,9272,12628,11497,10822,10210,9328,8741,2480,2456,2205,2301,2091,1925,139,152,158,161,161,157,41658,40140,39868,39714,38526,37603,41844,40234,39797,39777,39297,38710,15.36,15.33,15.8,15.61,15.72,17.04,67717.85,67373.75,65596.59,66413.6,65758.31,61711.79,32554,32245.27,31423.14,32181.93,30923.47,29673.03,4333219926,4080268864,3951718198,15253061,13643953,10401710,6654532252,6234447963,6050842083
IOWA,IA ,19,1649,1595,1484,1410,1261,1187,168,189,173,124,99,89,28285,28358,28086,28188,28601,28397,2582,2334,2323,2305,2246,2211,5241,4940,4700,4301,4091,3971,959,944,987,993,990,1032,101,97,126,124,117,126,18845,18534,18438,18178,18110,17814,20140,19923,19441,19267,19295,19199,13.92,14.09,14.15,14.16,14.05,14.48,36216.91,36068.04,36138.08,36059.3,36048.38,35737.21,10639.4,10618.06,10668.21,10632.72,10590.97,10482.37,2786937712,2657111454,2608716245,36029111,33542093,32892253,4231252078,4030834071,3934209416
KANSAS,KS ,20,2103,1919,1854,1780,1721,1748,67,69,53,67,68,50,22772,22159,22156,22339,22624,22535,2359,2330,2320,2240,2344,2341,7671,7276,7076,6777,6513,6237,1157,1032,1008,1081,1072,1047,233,287,283,274,292,297,17665,17199,16955,16771,16891,16817,18697,17873,17795,17787,17743,17438,13.23,13.01,12.88,12.66,12.68,13.6,36410.58,37166.56,37885.25,38353.43,38007.33,36603.08,11105.52,17292.68,17629.25,17807.66,17612.65,17665.03,2646317092,2492450964,2398562149,4357563,4395555,3792879,4004468669,3755138740,3640306990
KENTUCKY,KY ,21,2066,1805,1686,1470,1413,1301,71,60,57,67,57,50,33954,33451,34026,34331,35588,36095,4885,4436,4590,4501,4670,4954,4331,3794,3364,2966,2904,2914,926,967,927,955,943,893,68,66,60,58,57,57,22717,21788,22081,22034,22480,22624,23584,22791,22629,22314,23152,23640,15.37,15.3,15.34,15.08,15.52,16.39,42762.44,42971.55,43022.55,43379.9,42458.13,42222.99,10078.59,10230.37,10242.05,10292.42,10013.86,10034.58,3048994347,2829184786,2780668672,996699,856149,3218447,4740518390,4358329061,4315972182
LOUISIANA,LA ,22,1344,1190,1088,889,833,755,45,41,25,33,38,41,20641,20352,21276,20324,20967,21047,20175,19560,20160,18537,18619,19235,4316,3828,3727,2963,2769,2670,917,888,922,909,852,879,279,288,306,297,303,298,24037,23198,23879,22267,22256,22675,23680,22949,23625,21685,22125,22250,13.71,14.49,17.47,17.62,18.07,18.41,48636.51,48863.89,41110.05,38773.47,38368.88,38588.98,12774.94,13308.75,13370.26,12373.55,12353.16,12338.71,3104277604,2816372074,2903195871,58424972,57133163,56290551,4871414133,4479810914,4526694482
MAINE,ME ,23,451,407,319,335,266,247,16,8,11,16,5,17,10938,11715,11983,12269,12255,12191,758,708,605,615,531,541,497,461,400,354,323,314,220,221,255,244,248,262,92,85,141,106,112,106,6237,6532,6607,6580,6601,6581,6735,7073,7107,7359,7139,7097,11.03,11.29,11.44,11.23,11.39,12.16,15162.42,15288.1,15192.39,15417.56,15142.94,14826.48,4472.83,4504.44,4466.93,4512.4,4466.26,4468.88,1183135592,1121333945,1081673976,94977518,92230077,93042540,1802369702,1696614149,1627210566
