Year,State,Percentile,Total,ERW,Math,Reading,Writing,Math_Test,Hist,Science
2021,Alabama,75th,1290,660,640,33,34,32,33,33
2021,Alabama,50th,1150,600,560,29,30,28,29,30
2021,Alabama,25th,1020,520,490,26,26,24.5,26,26
2021,Alaska,75th,1250,640,620,32,32,31,32,32
2021,Alaska,50th,1120,570,550,29,28,27.5,29,29
2021,Alaska,25th,980,490,480,25,24,24,25,25
2021,Arizona,75th,1310,660,660,33,33,33,33,33
2021,Arizona,50th,1190,600,590,30,30,29.5,30,30
2021,Arizona,25th,1050,530,520,26,26,26,27,27
2021,Arkansas,75th,1320,680,650,34,34,32.5,34,34
2021,Arkansas,50th,1210,620,590,30,31,29.5,30,30
2021,Arkansas,25th,1070,550,520,27,28,26,27,27
2021,California,75th,1250,620,630,31,31,31.5,31,31
2021,California,50th,1030,520,520,26,26,26,26,26
2021,California,25th,850,430,420,22,21,21,22,22
2021,Colorado,75th,1210,620,600,31,31,30,31,31
2021,Colorado,50th,1070,540,530,27,27,26.5,27,27
2021,Colorado,25th,920,470,450,24,23,22.5,24,23
2021,Connecticut,75th,1220,620,600,31,31,30,31,31
2021,Connecticut,50th,1070,540,520,27,27,26,27,27
2021,Connecticut,25th,910,460,440,23,23,22,24,23
2021,Delaware,75th,1120,570,550,29,29,27.5,29,29
2021,Delaware,50th,970,490,480,25,24,24,25,25
2021,Delaware,25th,830,420,400,21,20,20,21,21
2021,District,75th,1180,600,580,30,30,29,30,30
2021,District,50th,930,470,460,24,23,23,24,24
2021,District,25th,770,390,380,20,19,19,20,20
2021,Florida,75th,1130,580,550,29,29,27.5,29,29
2021,Florida,50th,970,500,470,25,25,23.5,25,25
2021,Florida,25th,830,440,390,22,21,19.5,22,22
2021,Georgia,75th,1220,620,600,31,31,30,31,31
2021,Georgia,50th,1080,550,530,28,27,26.5,28,28
2021,Georgia,25th,950,480,460,24,23,23,24,24
2021,Hawaii,75th,1270,640,640,32,32,32,32,32
2021,Hawaii,50th,1130,570,560,28,29,28,28,29
2021,Hawaii,25th,1020,500,500,25,25,25,25,25
2021,Idaho,75th,1110,570,540,29,28,27,29,29
2021,Idaho,50th,970,500,480,25,24,24,25,25
2021,Idaho,25th,840,430,400,22,21,20,22,22
2021,Illinois,75th,1150,580,570,29,29,28.5,29,30
2021,Illinois,50th,990,500,490,25,25,24.5,25,25
2021,Illinois,25th,840,430,410,21,21,20.5,22,22
2021,Indiana,75th,1210,610,600,31,31,30,31,31
2021,Indiana,50th,1090,550,540,28,27,27,28,28
2021,Indiana,25th,970,490,480,25,24,24,25,25
2021,Iowa,75th,1390,700,710,35,35,35.5,35,35
2021,Iowa,50th,1260,640,620,32,32,31,32,32
2021,Iowa,25th,1110,560,540,28,28,27,28,28
2021,Kansas,75th,1380,690,700,34,35,35,35,35
2021,Kansas,50th,1250,630,620,31,32,31,31,32
2021,Kansas,25th,1110,550,550,27,28,27.5,28,28
2021,Kentucky,75th,1340,680,680,34,34,34,34,34
2021,Kentucky,50th,1230,620,600,31,31,30,31,31
2021,Kentucky,25th,1090,560,530,27,28,26.5,27,28
2021,Louisiana,75th,1340,680,670,33,35,33.5,34,34
2021,Louisiana,50th,1200,620,580,30,31,29,30,31
2021,Louisiana,25th,1040,530,500,26,27,25,26,27
2021,Maine,75th,1230,630,610,32,31,30.5,32,32
2021,Maine,50th,1090,560,540,28,28,27,28,28
2021,Maine,25th,970,490,470,25,24,23.5,25,25
2021,Maryland,75th,1230,620,610,31,31,30.5,31,32
2021,Maryland,50th,1070,540,530,27,27,26.5,27,27
2021,Maryland,25th,900,450,440,23,22,22,23,23
2021,Massachusetts,75th,1330,670,670,33,34,33.5,34,34
2021,Massachusetts,50th,1180,590,590,30,30,29.5,30,30
2021,Massachusetts,25th,1040,520,520,26,26,26,26,26
2021,Michigan,75th,1170,590,580,30,30,29,30,30
2021,Michigan,50th,1020,520,510,26,26,25.5,26,26
2021,Michigan,25th,880,450,430,22,22,21.5,22,22
2021,Minnesota,75th,1410,700,720,35,35,36,35,35
2021,Minnesota,50th,1290,640,640,32,32,32,32,32
2021,Minnesota,25th,1140,560,560,28,28,28,28,28
2021,Mississippi,75th,1340,680,660,34,35,33,34,34
2021,Mississippi,50th,1210,620,590,31,32,29.5,31,31
2021,Mississippi,25th,1070,550,520,27,28,26,27,27
2021,Missouri,75th,1380,690,690,34,35,34.5,34,34
2021,Missouri,50th,1230,620,610,31,32,30.5,31,31
2021,Missouri,25th,1090,550,530,27,28,26.5,27,27
2021,Montana,75th,1340,680,680,34,34,34,34,35
2021,Montana,50th,1220,620,600,31,31,30,31,32
2021,Montana,25th,1110,560,540,28,28,27,28,28
2021,Nebraska,75th,1390,700,700,35,35,35,35,35
2021,Nebraska,50th,1270,640,620,32,32,31,32,32
2021,Nebraska,25th,1110,560,540,28,28,27,28,28
2021,Nevada,75th,1340,670,680,33,34,34,33,34
2021,Nevada,50th,1190,600,590,30,30,29.5,30,30
2021,Nevada,25th,1060,530,520,26,26,26,27,26
2021,New,75th,1190,610,590,31,31,29.5,30,31
2021,New,50th,1050,540,520,27,26,26,27,27
2021,New,25th,920,470,450,24,23,22.5,24,23
2021,New,75th,1280,640,650,32,33,32.5,32,32
2021,New,50th,1120,560,560,28,28,28,28,28
2021,New,25th,970,480,480,24,24,24,25,24
2021,New,75th,1120,580,550,29,28,27.5,29,29
2021,New,50th,970,500,480,25,24,24,25,25
2021,New,25th,840,430,400,22,21,20,22,22
2021,New,75th,1220,610,620,31,30,31,30,31
2021,New,50th,1050,520,530,26,26,26.5,27,26
2021,New,25th,880,440,440,22,21,22,23,22
2021,North,75th,1280,650,640,32,32,32,33,33
2021,North,50th,1150,580,570,29,29,28.5,29,30
2021,North,25th,1020,510,510,26,25,25.5,26,26
2021,North,75th,1390,700,700,34,35,35,35,34
2021,North,50th,1260,640,620,32,33,31,33,32
2021,North,25th,1150,580,570,27,29,28.5,28,28
2021,Ohio,75th,1210,610,600,31,31,30,30,31
2021,Ohio,50th,1040,520,520,26,26,26,27,26
2021,Ohio,25th,870,430,430,22,21,21.5,22,22
2021,Oklahoma,75th,1200,620,590,31,31,29.5,31,31
2021,Oklahoma,50th,1030,530,500,27,26,25,27,26
2021,Oklahoma,25th,870,450,420,23,22,21,23,22
2021,Oregon,75th,1270,640,630,32,32,31.5,32,32
2021,Oregon,50th,1120,570,550,28,28,27.5,28,28
2021,Oregon,25th,970,490,480,25,24,24,25,24
2021,Pennsylvania,75th,1250,630,620,32,32,31,32,32
2021,Pennsylvania,50th,1120,570,550,28,28,27.5,28,29
2021,Pennsylvania,25th,1000,500,490,25,25,24.5,25,25
2021,Puerto,75th,1100,570,540,29,29,27,28,28
2021,Puerto,50th,980,510,470,25,25,23.5,25,25
2021,Puerto,25th,870,440,410,22,22,20.5,22,22
2021,Rhode,75th,1150,590,570,30,29,28.5,30,30
2021,Rhode,50th,1000,510,490,26,25,24.5,26,25
2021,Rhode,25th,850,430,410,22,21,20.5,22,22
2021,South,75th,1160,600,570,30,30,28.5,30,30
2021,South,50th,1030,530,500,27,26,25,27,26
2021,South,25th,890,450,430,23,22,21.5,23,23
2021,South,75th,1340,660,690,33,34,34.5,34,33
2021,South,50th,1230,610,610,30,31,30.5,31,31
2021,South,25th,1080,540,540,27,26,27,28,28
2021,Tennessee,75th,1370,690,680,34,35,34,34,34
2021,Tennessee,50th,1230,630,600,31,32,30,31,31
2021,Tennessee,25th,1090,560,530,27,28,26.5,27,27
2021,Texas,75th,1130,580,560,29,29,28,29,29
2021,Texas,50th,980,500,490,25,24,24.5,25,25
2021,Texas,25th,850,430,420,22,21,21,22,22
2021,Us,75th,1010,540,480,27,27,24,27,27
2021,Us,50th,890,470,420,24,24,21,24,23
2021,Us,25th,810,430,380,21,21,19,21,20
2021,Utah,75th,1380,690,700,34,35,35,35,34
2021,Utah,50th,1260,640,620,31,32,31,31,32
2021,Utah,25th,1120,560,540,28,28,27,28,28
2021,Vermont,75th,1250,640,620,32,32,31,32,32
2021,Vermont,50th,1120,570,550,29,28,27.5,29,29
2021,Vermont,25th,1000,500,480,26,24,24,26,25
2021,Virginia,75th,1290,650,640,33,33,32,33,33
2021,Virginia,50th,1140,580,560,29,29,28,29,30
2021,Virginia,25th,1010,520,490,26,25,24.5,26,26
2021,Washington,75th,1240,620,610,31,31,30.5,31,32
2021,Washington,50th,1060,530,530,27,26,26.5,27,27
2021,Washington,25th,900,450,450,23,21,22.5,23,23
2021,West,75th,1120,580,540,29,29,27,29,29
2021,West,50th,1000,520,480,26,26,24,26,26
2021,West,25th,880,450,420,23,22,21,23,23
2021,Wisconsin,75th,1390,690,710,34,35,35.5,34,35
2021,Wisconsin,50th,1240,620,620,31,31,31,30,31
2021,Wisconsin,25th,1060,530,530,26,27,26.5,27,27
2021,Wyoming,75th,1330,680,660,34,34,33,34,34
2021,Wyoming,50th,1220,630,600,32,31,30,31,32
2021,Wyoming,25th,1150,560,540,28,28,27,28,28
