Year,State,Percentile,Total,ERW,Math,Reading,Writing,Math_Test,Hist,Science
2022,Alabama,75th,1300,660,650,33,34,32.5,33,33
2022,Alabama,50th,1150,590,550,29,30,27.5,29,29
2022,Alabama,25th,990,510,470,25,26,23.5,26,25
2022,Alaska,75th,1230,630,600,32,31,30,32,32
2022,Alaska,50th,1110,560,540,29,28,27,28,29
2022,Alaska,25th,990,500,490,25,25,24.5,26,25
2022,Arizona,75th,1300,660,650,33,33,32.5,33,33
2022,Arizona,50th,1160,590,570,29,29,28.5,29,30
2022,Arizona,25th,1020,510,510,26,25,25.5,26,26
2022,Arkansas,75th,1330,680,660,34,35,33,34,34
2022,Arkansas,50th,1200,620,570,30,31,28.5,30,30
2022,Arkansas,25th,1060,540,510,27,28,25.5,27,27
2022,California,75th,1310,650,660,33,33,33,33,33
2022,California,50th,1110,560,550,28,28,27.5,28,28
2022,California,25th,910,460,440,24,23,22,24,23
2022,Colorado,75th,1160,590,570,30,29,28.5,30,30
2022,Colorado,50th,1000,510,490,26,25,24.5,26,25
2022,Colorado,25th,860,440,420,22,21,21,23,22
2022,Connecticut,75th,1180,600,580,30,30,29,30,30
2022,Connecticut,50th,1000,510,490,26,25,24.5,26,26
2022,Connecticut,25th,850,430,410,22,21,20.5,22,21
2022,Delaware,75th,1090,560,540,28,28,27,28,28
2022,Delaware,50th,940,480,460,24,23,23,24,24
2022,Delaware,25th,820,410,400,21,20,20,21,21
2022,District,75th,1180,600,580,30,31,29,30,30
2022,District,50th,910,460,450,24,23,22.5,24,23
2022,District,25th,780,400,380,21,20,19,21,19
2022,Florida,75th,1120,580,540,29,29,27,29,29
2022,Florida,50th,950,500,460,25,25,23,25,25
2022,Florida,25th,830,440,390,22,21,19.5,22,21
2022,Georgia,75th,1190,610,580,31,31,29,31,31
2022,Georgia,50th,1050,540,510,27,27,25.5,27,27
2022,Georgia,25th,920,470,440,24,23,22,24,23
2022,Hawaii,75th,1250,630,620,32,32,31,32,32
2022,Hawaii,50th,1110,560,550,28,28,27.5,28,29
2022,Hawaii,25th,980,500,480,25,24,24,25,25
2022,Idaho,75th,1110,570,550,29,28,27.5,29,29
2022,Idaho,50th,970,490,480,25,24,24,25,25
2022,Idaho,25th,840,420,410,21,21,20.5,22,21
2022,Illinois,75th,1110,570,550,29,28,27.5,29,28
2022,Illinois,50th,950,480,470,24,24,23.5,25,24
2022,Illinois,25th,820,410,400,21,20,20,22,21
2022,Indiana,75th,1200,610,600,31,30,30,31,31
2022,Indiana,50th,1070,540,530,27,27,26.5,27,27
2022,Indiana,25th,940,470,460,24,23,23,24,24
2022,Iowa,75th,1350,680,680,34,34,34,34,34
2022,Iowa,50th,1200,610,590,30,31,29.5,30,31
2022,Iowa,25th,1050,530,510,26,26,25.5,27,27
2022,Kansas,75th,1390,700,700,34,35,35,35,35
2022,Kansas,50th,1250,630,620,31,32,31,31,32
2022,Kansas,25th,1090,550,530,27,28,26.5,28,28
2022,Kentucky,75th,1340,680,670,34,35,33.5,34,34
2022,Kentucky,50th,1220,620,590,31,32,29.5,31,31
2022,Kentucky,25th,1100,560,530,28,28,26.5,28,28
2022,Louisiana,75th,1350,680,670,34,35,33.5,34,34
