Year,State,Percentile,Total,ERW,Math,Reading,Writing,Math_Test,Hist,Science
2022,Louisiana,50th,1180,610,570,30,31,28.5,30,30
2022,Louisiana,25th,1000,520,490,25,26,24.5,26,25
2022,Maine,75th,1200,610,590,31,31,29.5,31,31
2022,Maine,50th,1070,540,530,28,27,26.5,28,28
2022,Maine,25th,950,480,460,24,23,23,24,24
2022,Maryland,75th,1230,630,600,31,31,30,31,32
2022,Maryland,50th,1060,540,520,27,27,26,28,27
2022,Maryland,25th,910,460,440,23,23,22,24,23
2022,Massachusetts,75th,1280,650,640,32,32,32,32,33
2022,Massachusetts,50th,1120,570,550,29,28,27.5,29,29
2022,Massachusetts,25th,980,490,480,25,24,24,25,25
2022,Michigan,75th,1130,580,560,29,29,28,29,29
2022,Michigan,50th,980,500,480,25,24,24,25,25
2022,Michigan,25th,840,430,410,22,21,20.5,22,22
2022,Minnesota,75th,1390,700,700,35,35,35,35,35
2022,Minnesota,50th,1240,630,610,31,31,30.5,31,31
2022,Minnesota,25th,1080,540,530,27,27,26.5,27,27
2022,Mississippi,75th,1360,700,680,35,35,34,35,34
2022,Mississippi,50th,1240,630,600,31,32,30,31,32
2022,Mississippi,25th,1090,560,530,28,28,26.5,28,27
2022,Missouri,75th,1360,690,680,34,35,34,34,34
2022,Missouri,50th,1210,610,590,30,31,29.5,31,31
2022,Missouri,25th,1050,530,510,26,27,25.5,27,26
2022,Montana,75th,1320,670,660,34,34,33,34,34
2022,Montana,50th,1210,610,600,31,31,30,30,31
2022,Montana,25th,1100,550,530,28,27,26.5,28,28
2022,Nebraska,75th,1380,690,690,34,35,34.5,35,34
2022,Nebraska,50th,1250,630,610,31,32,30.5,31,31
2022,Nebraska,25th,1070,550,530,27,27,26.5,28,28
2022,Nevada,75th,1310,660,660,33,34,33,33,33
2022,Nevada,50th,1170,590,570,29,30,28.5,29,30
2022,Nevada,25th,1040,520,510,26,26,25.5,26,26
2022,New,75th,1180,600,590,30,30,29.5,30,31
2022,New,50th,1040,520,520,26,26,26,26,27
2022,New,25th,900,450,440,23,22,22,22,23
2022,New,75th,1240,620,620,31,32,31,31,32
2022,New,50th,1060,540,530,27,27,26.5,27,27
2022,New,25th,900,460,440,23,22,22,23,23
2022,New,75th,1100,560,540,28,28,27,28,29
2022,New,50th,950,480,460,24,24,23,24,24
2022,New,25th,820,420,400,21,21,20,21,21
2022,New,75th,1220,610,610,31,31,30.5,31,31
2022,New,50th,1050,530,530,27,26,26.5,27,27
2022,New,25th,900,450,440,23,22,22,23,23
2022,North,75th,1270,650,630,32,32,31.5,32,33
2022,North,50th,1130,580,560,29,29,28,29,29
2022,North,25th,1000,500,490,25,25,24.5,26,25
2022,North,75th,1340,680,660,33,34,33,33,34
2022,North,50th,1210,610,600,31,31,30,31,31
2022,North,25th,1070,540,540,27,26,27,28,28
2022,Ohio,75th,1210,610,610,31,31,30.5,31,31
2022,Ohio,50th,1040,520,520,26,26,26,26,26
2022,Ohio,25th,870,440,430,22,21,21.5,23,22
2022,Oklahoma,75th,1070,550,530,28,28,26.5,28,28
2022,Oklahoma,50th,920,470,450,24,23,22.5,24,24
2022,Oklahoma,25th,800,400,390,20,20,19.5,20,20
2022,Oregon,75th,1280,650,630,33,33,31.5,33,33
2022,Oregon,50th,1140,580,560,29,29,28,29,30
2022,Oregon,25th,1000,510,490,26,25,24.5,26,25
2022,Pennsylvania,75th,1220,620,610,31,31,30.5,31,32
2022,Pennsylvania,50th,1080,550,540,28,27,27,28,28
2022,Pennsylvania,25th,950,480,470,24,23,23.5,24,24
2022,Puerto,75th,1100,580,530,29,29,26.5,28,29
2022,Puerto,50th,970,500,460,25,25,23,25,25
2022,Puerto,25th,850,440,400,22,22,20,22,22
2022,Rhode,75th,1110,570,540,28,28,27,28,29
2022,Rhode,50th,940,480,460,24,24,23,24,24
2022,Rhode,25th,810,410,390,21,20,19.5,21,20
2022,South,75th,1160,600,570,30,30,28.5,30,30
2022,South,50th,1020,520,500,26,26,25,26,26
2022,South,25th,890,450,430,23,22,21.5,23,22
2022,South,75th,1350,670,680,34,34,34,34,34
2022,South,50th,1210,610,590,31,31,29.5,31,31
2022,South,25th,1090,540,550,27,27,27.5,28,28
2022,Tennessee,75th,1340,680,670,34,35,33.5,34,34
2022,Tennessee,50th,1200,620,580,30,31,29,31,31
2022,Tennessee,25th,1070,550,520,27,28,26,27,27
2022,Texas,75th,1130,580,560,29,29,28,29,29
2022,Texas,50th,980,490,490,25,24,24.5,25,25
2022,Texas,25th,850,430,410,22,21,20.5,22,21
2022,Us,75th,1030,550,490,27,28,24.5,27,27
2022,Us,50th,910,480,430,24,24,21.5,24,23
2022,Us,25th,810,420,390,21,21,19.5,21,20
2022,Utah,75th,1370,690,690,35,35,34.5,35,35
2022,Utah,50th,1260,630,620,31,32,31,31,32
2022,Utah,25th,1100,550,540,27,28,27,28,28
2022,Vermont,75th,1220,630,600,32,31,30,31,32
2022,Vermont,50th,1080,550,530,28,27,26.5,28,28
2022,Vermont,25th,960,480,470,25,24,23.5,25,25
2022,Virginia,75th,1260,650,620,32,32,31,32,32
2022,Virginia,50th,1120,570,540,29,29,27,29,29
2022,Virginia,25th,980,500,470,25,24,23.5,25,25
2022,Washington,75th,1260,640,620,32,32,31,32,32
2022,Washington,50th,1090,550,540,28,27,27,28,28
2022,Washington,25th,920,460,450,24,22,22.5,24,23
2022,West,75th,1050,540,510,28,27,25.5,28,28
2022,West,50th,910,470,440,24,23,22,24,24
2022,West,25th,810,410,390,21,20,19.5,21,20
2022,Wisconsin,75th,1410,700,720,35,35,36,35,35
2022,Wisconsin,50th,1270,630,640,31,32,32,31,32
2022,Wisconsin,25th,1120,560,550,27,28,27.5,28,28
2022,Wyoming,75th,1370,690,690,35,35,34.5,35,35
2022,Wyoming,50th,1250,640,610,31,32,30.5,31,32
2022,Wyoming,25th,1130,570,540,29,28,27,28,29
