Year,State,Percentile,Total,ERW,Math,Reading,Writing,Math_Test,Hist,Science
2019,Maryland,25th,890,450,430,23,22,21.5,23,23
2019,Massachusetts,75th,1270,640,640,32,32,32,32,32
2019,Massachusetts,50th,1120,560,550,28,28,27.5,28,29
2019,Massachusetts,25th,970,480,480,25,24,24,25,25
2019,Michigan,75th,1140,580,570,29,29,28.5,29,30
2019,Michigan,50th,990,500,490,25,25,24.5,25,26
2019,Michigan,25th,840,430,410,21,21,20.5,22,22
2019,Minnesota,75th,1430,710,740,36,35,37,35,36
2019,Minnesota,50th,1300,650,650,32,32,32.5,32,33
2019,Minnesota,25th,1160,570,580,28,29,29,29,29
2019,Mississippi,75th,1400,710,700,35,36,35,35,35
2019,Mississippi,50th,1240,640,610,31,32,30.5,31,32
2019,Mississippi,25th,1090,560,520,28,28,26,28,28
2019,Missouri,75th,1390,700,700,35,35,35,35,35
2019,Missouri,50th,1240,630,610,31,32,30.5,31,32
2019,Missouri,25th,1100,560,530,28,28,26.5,28,28
2019,Montana,75th,1310,660,660,33,33,33,33,34
2019,Montana,50th,1200,610,590,31,30,29.5,30,31
2019,Montana,25th,1090,550,530,27,27,26.5,27,27
2019,Nebraska,75th,1420,700,720,35,35,36,35,35
2019,Nebraska,50th,1270,640,630,32,32,31.5,32,32
2019,Nebraska,25th,1120,560,550,28,28,27.5,28,28
2019,Nevada,75th,1270,640,640,32,32,32,32,33
2019,Nevada,50th,1150,580,570,29,29,28.5,29,30
2019,Nevada,25th,1040,520,510,26,26,25.5,26,26
2019,New,75th,1200,610,590,31,30,29.5,30,31
2019,New,50th,1050,530,520,27,26,26,27,27
2019,New,25th,910,460,450,23,23,22.5,23,23
2019,New,75th,1240,620,630,31,31,31.5,31,32
2019,New,50th,1080,540,540,27,27,27,27,27
2019,New,25th,930,460,460,23,23,23,23,23
2019,New,75th,1210,620,600,31,31,30,31,32
2019,New,50th,1060,540,520,27,27,26,27,27
2019,New,25th,920,460,450,23,22,22.5,23,23
2019,New,75th,1210,610,610,31,30,30.5,31,31
2019,New,50th,1060,530,530,27,26,26.5,27,27
2019,New,25th,900,450,450,23,22,22.5,23,23
2019,North,75th,1230,630,610,31,31,30.5,31,32
2019,North,50th,1090,550,540,28,27,27,28,28
2019,North,25th,960,480,470,24,23,23.5,25,24
2019,North,75th,1410,700,700,35,35,35,35,36
2019,North,50th,1280,640,640,32,32,32,32,32
2019,North,25th,1150,570,560,28,28,28,28,28
2019,Ohio,75th,1260,640,630,32,32,31.5,32,32
2019,Ohio,50th,1100,550,540,28,27,27,28,28
2019,Ohio,25th,920,460,460,23,23,23,23,23
2019,Oklahoma,75th,1100,570,540,29,28,27,28,29
2019,Oklahoma,50th,930,470,460,24,23,23,24,24
2019,Oklahoma,25th,790,400,390,21,20,19.5,21,21
2019,Oregon,75th,1240,630,610,32,31,30.5,32,32
2019,Oregon,50th,1110,560,540,28,28,27,28,29
2019,Oregon,25th,980,490,480,25,24,24,25,25
2019,Pennsylvania,75th,1210,620,600,31,31,30,31,31
2019,Pennsylvania,50th,1080,550,530,28,27,26.5,27,28
2019,Pennsylvania,25th,950,470,460,24,23,23,24,24
2019,Puerto,75th,1070,550,520,28,27,26,27,27
2019,Puerto,50th,920,470,450,24,23,22.5,24,24
2019,Puerto,25th,800,400,390,20,20,19.5,21,21
2019,Rhode,75th,1140,580,560,29,29,28,29,30
2019,Rhode,50th,980,490,490,25,25,24.5,25,25
2019,Rhode,25th,830,420,400,21,20,20,21,22
2019,South,75th,1160,600,570,30,30,28.5,30,30
2019,South,50th,1020,520,500,26,26,25,26,26
2019,South,25th,890,450,430,23,22,21.5,23,23
2019,South,75th,1430,710,720,35,36,36,35,35
2019,South,50th,1270,640,640,32,32,32,32,32
2019,South,25th,1130,570,540,28,29,27,28,29
2019,Tennessee,75th,1370,690,690,34,35,34.5,34,35
2019,Tennessee,50th,1230,630,600,31,32,30,31,31
2019,Tennessee,25th,1090,560,530,27,28,26.5,27,28
2019,Texas,75th,1150,590,570,30,29,28.5,29,30
2019,Texas,50th,1010,510,500,26,25,25,26,26
2019,Texas,25th,870,440,430,22,21,21.5,22,22
2019,Utah,75th,1380,690,700,35,35,35,34,35
2019,Utah,50th,1240,620,620,31,31,31,31,32
2019,Utah,25th,1100,540,540,27,27,27,27,28
2019,Vermont,75th,1230,630,610,32,31,30.5,32,32
2019,Vermont,50th,1100,560,540,28,28,27,28,29
2019,Vermont,25th,980,490,480,25,24,24,25,25
2019,Virgin,75th,1040,560,500,27,28,25,27,27
2019,Virgin,50th,900,470,430,24,24,21.5,24,24
2019,Virgin,25th,800,420,380,21,21,19,20,20
2019,Virginia,75th,1250,640,620,32,32,31,32,32
2019,Virginia,50th,1110,570,540,29,28,27,28,29
2019,Virginia,25th,980,500,480,25,24,24,25,25
2019,Washington,75th,1220,620,600,31,31,30,31,31
2019,Washington,50th,1070,540,530,27,26,26.5,27,27
2019,Washington,25th,930,460,460,24,22,23,24,23
2019,West,75th,1060,550,520,28,27,26,28,28
2019,West,50th,920,470,450,24,23,22.5,24,24
2019,West,25th,810,410,390,21,20,19.5,21,21
2019,Wisconsin,75th,1440,720,740,36,36,37,36,36
2019,Wisconsin,50th,1300,640,660,32,33,33,32,33
2019,Wisconsin,25th,1150,570,570,28,29,28.5,28,29
2019,Wyoming,75th,1390,700,680,34,35,34,34,35
2019,Wyoming,50th,1260,630,610,32,32,30.5,31,32
2019,Wyoming,25th,1080,550,530,28,27,26.5,28,28
