Year,State,Percentile,Total,ERW,Math,Reading,Writing,Math_Test,Hist,Science
2019,Alabama,75th,1290,660,640,33,33,32,33,33
2019,Alabama,50th,1130,580,550,29,30,27.5,29,29
2019,Alabama,25th,990,510,480,25,26,24,25,25
2019,Alaska,75th,1220,620,600,31,31,30,31,32
2019,Alaska,50th,1090,560,530,28,27,26.5,28,28
2019,Alaska,25th,970,490,480,25,24,24,25,25
2019,Arizona,75th,1260,640,630,32,32,31.5,32,32
2019,Arizona,50th,1130,570,560,29,28,28,29,29
2019,Arizona,25th,1000,500,500,25,25,25,25,25
2019,Arkansas,75th,1300,660,640,33,33,32,33,33
2019,Arkansas,50th,1150,590,550,29,30,27.5,29,30
2019,Arkansas,25th,990,500,480,25,25,24,25,25
2019,California,75th,1210,610,610,31,31,30.5,30,31
2019,California,50th,1050,530,520,27,26,26,27,27
2019,California,25th,900,450,440,23,22,22,23,23
2019,Colorado,75th,1170,600,580,30,30,29,30,30
2019,Colorado,50th,1010,510,500,26,25,25,26,26
2019,Colorado,25th,860,430,430,22,21,21.5,22,23
2019,Connecticut,75th,1200,610,590,31,31,29.5,30,31
2019,Connecticut,50th,1040,530,510,27,26,25.5,27,27
2019,Connecticut,25th,870,440,420,22,22,21,22,22
2019,Delaware,75th,1120,570,550,29,29,27.5,29,30
2019,Delaware,50th,970,490,480,25,24,24,25,25
2019,Delaware,25th,830,420,400,21,20,20,21,21
2019,District,75th,1160,600,570,30,30,28.5,29,30
2019,District,50th,910,460,450,23,23,22.5,23,23
2019,District,25th,770,390,370,20,19,18.5,20,19
2019,Florida,75th,1140,590,560,30,29,28,29,30
2019,Florida,50th,980,510,480,26,25,24,25,25
2019,Florida,25th,840,440,400,23,21,20,22,22
2019,Georgia,75th,1180,610,580,31,30,29,30,31
2019,Georgia,50th,1040,530,510,27,27,25.5,27,27
2019,Georgia,25th,920,470,450,24,23,22.5,24,23
2019,Hawaii,75th,1220,620,610,31,31,30.5,31,31
2019,Hawaii,50th,1090,550,540,28,27,27,27,28
2019,Hawaii,25th,970,480,480,24,24,24,24,24
2019,Idaho,75th,1120,570,550,29,28,27.5,28,30
2019,Idaho,50th,980,500,490,25,25,24.5,25,26
2019,Idaho,25th,850,430,410,21,21,20.5,22,22
2019,Illinois,75th,1150,580,580,29,29,29,29,30
2019,Illinois,50th,990,500,500,25,25,25,25,26
2019,Illinois,25th,850,430,410,21,21,20.5,22,22
2019,Indiana,75th,1200,610,600,31,30,30,30,31
2019,Indiana,50th,1070,540,530,27,27,26.5,27,27
2019,Indiana,25th,960,480,470,24,23,23.5,24,24
2019,Iowa,75th,1420,700,720,35,35,36,35,35
2019,Iowa,50th,1260,630,630,32,32,31.5,32,32
2019,Iowa,25th,1090,550,530,27,27,26.5,27,28
2019,Kansas,75th,1380,690,700,35,35,35,34,35
2019,Kansas,50th,1250,620,620,31,31,31,31,32
2019,Kansas,25th,1110,550,540,27,27,27,27,28
2019,Kentucky,75th,1370,690,690,34,35,34.5,34,35
2019,Kentucky,50th,1240,630,610,31,32,30.5,31,32
2019,Kentucky,25th,1110,560,530,27,28,26.5,28,28
2019,Louisiana,75th,1350,690,680,34,35,34,34,34
2019,Louisiana,50th,1210,620,590,30,31,29.5,30,31
2019,Louisiana,25th,1060,540,510,26,27,25.5,27,27
2019,Maine,75th,1150,590,570,30,29,28.5,29,30
2019,Maine,50th,1000,510,500,26,25,25,26,26
2019,Maine,25th,860,430,430,22,21,21.5,22,23
2019,Maryland,75th,1220,620,600,31,31,30,31,31
2019,Maryland,50th,1050,530,520,27,26,26,27,27
