0,1,2,3,4,5,6,7,8,9
2024-alabama-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1320,670,650,34,35,33.5,34,34
2024-alabama-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1160,600,560,30,31,28.5,30,30
2024-alabama-sat-suite-of-assessments-annual-report-ADA.pdf,25th,1000,510,480,25,26,24.5,26,26
2024-alaska-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1200,620,590,34,34,33,34,34
2024-alaska-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1080,560,520,30,29,27.5,29,30
2024-alaska-sat-suite-of-assessments-annual-report-ADA.pdf,25th,950,490,450,26,24,23.5,25,25
2024-arizona-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1330,670,670,34,35,34,34,34
2024-arizona-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1190,610,590,30,31,30,30,31
2024-arizona-sat-suite-of-assessments-annual-report-ADA.pdf,25th,1050,530,510,27,27,26,27,27
2024-arkansas-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1310,680,650,35,36,34,35,34
2024-arkansas-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1190,620,570,31,32,29.5,31,31
2024-arkansas-sat-suite-of-assessments-annual-report-ADA.pdf,25th,1070,550,510,28,29,26.5,28,28
2024-california-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1280,640,640,32,33,32.5,32,33
2024-california-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1080,550,530,28,27,27,28,28
2024-california-sat-suite-of-assessments-annual-report-ADA.pdf,25th,880,450,420,23,22,21,23,22
2024-colorado-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1140,590,560,30,29,28,29,30
2024-colorado-sat-suite-of-assessments-annual-report-ADA.pdf,50th,980,500,480,26,25,24.5,26,25
2024-colorado-sat-suite-of-assessments-annual-report-ADA.pdf,25th,830,430,400,22,21,20,22,21
