0,1,2,3,4,5,6,7,8,9
2023-maryland-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1170,600,580,30,30,29,30,30
2023-maryland-sat-suite-of-assessments-annual-report-ADA.pdf,50th,980,510,480,26,25,24,26,25
2023-maryland-sat-suite-of-assessments-annual-report-ADA.pdf,25th,820,430,400,22,21,20,22,21
2023-massachusetts-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1260,640,630,32,32,31.5,32,32
2023-massachusetts-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1110,560,550,28,28,27.5,28,29
2023-massachusetts-sat-suite-of-assessments-annual-report-ADA.pdf,25th,960,480,470,24,24,23.5,24,24
2023-michigan-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1100,560,540,28,28,27,29,28
2023-michigan-sat-suite-of-assessments-annual-report-ADA.pdf,50th,940,480,460,25,24,23,25,25
2023-michigan-sat-suite-of-assessments-annual-report-ADA.pdf,25th,810,410,390,21,20,19.5,21,21
2023-minnesota-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1380,690,690,35,35,35,35,34
2023-minnesota-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1230,620,610,31,31,30.5,31,31
2023-minnesota-sat-suite-of-assessments-annual-report-ADA.pdf,25th,1040,520,520,26,26,26,26,26
2023-mississippi-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1350,680,660,34,35,33,34,34
2023-mississippi-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1190,610,580,30,31,29,30,31
2023-mississippi-sat-suite-of-assessments-annual-report-ADA.pdf,25th,1050,530,510,26,27,25.5,27,27
2023-missouri-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1350,690,680,34,35,34,34,34
2023-missouri-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1210,610,590,30,31,29.5,30,31
2023-missouri-sat-suite-of-assessments-annual-report-ADA.pdf,25th,1040,530,510,26,26,25.5,27,26
2023-montana-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1310,670,650,34,34,32.5,34,34
2023-montana-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1190,610,580,30,31,29,30,31
2023-montana-sat-suite-of-assessments-annual-report-ADA.pdf,25th,1080,550,520,27,28,26,27,27
2023-nebraska-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1370,700,690,35,36,34.5,35,34
2023-nebraska-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1270,640,630,31,33,31.5,32,32
2023-nebraska-sat-suite-of-assessments-annual-report-ADA.pdf,25th,1120,560,550,28,29,27.5,29,28
2023-nevada-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1310,660,660,33,33,33,33,33
2023-nevada-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1170,600,570,29,30,28.5,29,30
2023-nevada-sat-suite-of-assessments-annual-report-ADA.pdf,25th,1030,520,500,26,26,25,26,26
2023-new-hampshire-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1170,600,580,30,30,29,30,31
2023-new-hampshire-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1020,520,500,26,26,25,26,27
2023-new-hampshire-sat-suite-of-assessments-annual-report-ADA.pdf,25th,880,450,420,23,22,21,22,23
2023-new-jersey-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1230,620,610,31,31,30.5,31,32
2023-new-jersey-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1060,540,520,27,27,26,27,27
2023-new-jersey-sat-suite-of-assessments-annual-report-ADA.pdf,25th,890,450,430,23,22,21.5,23,22
2023-new-mexico-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1000,510,500,26,25,25,26,26
2023-new-mexico-sat-suite-of-assessments-annual-report-ADA.pdf,50th,870,440,430,22,22,21.5,22,22
2023-new-mexico-sat-suite-of-assessments-annual-report-ADA.pdf,25th,770,390,380,20,19,19,19,20
2023-new-york-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1200,600,600,30,30,30,30,31
2023-new-york-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1030,520,510,26,25,25.5,26,26
2023-new-york-sat-suite-of-assessments-annual-report-ADA.pdf,25th,860,440,420,22,21,21,22,22
2023-north-carolina-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1270,650,630,32,33,31.5,32,33
2023-north-carolina-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1130,570,560,29,29,28,29,29
2023-north-carolina-sat-suite-of-assessments-annual-report-ADA.pdf,25th,990,500,480,25,24,24,25,25
2023-north-dakota-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1420,720,700,36,36,35,36,36
2023-north-dakota-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1300,670,630,33,33,31.5,33,33
2023-north-dakota-sat-suite-of-assessments-annual-report-ADA.pdf,25th,1150,570,580,28,29,29,29,29
2023-ohio-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1200,610,600,30,31,30,30,31
2023-ohio-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1030,520,520,26,25,26,26,26
2023-ohio-sat-suite-of-assessments-annual-report-ADA.pdf,25th,870,440,430,22,21,21.5,22,22
2023-oklahoma-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1080,550,530,28,28,26.5,28,28
2023-oklahoma-sat-suite-of-assessments-annual-report-ADA.pdf,50th,920,470,460,23,24,23,23,23
2023-oklahoma-sat-suite-of-assessments-annual-report-ADA.pdf,25th,800,410,390,20,20,19.5,20,20
2023-oregon-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1270,650,620,33,33,31,32,33
2023-oregon-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1120,580,550,29,29,27.5,29,29
2023-oregon-sat-suite-of-assessments-annual-report-ADA.pdf,25th,980,500,480,25,24,24,25,25
2023-pennsylvania-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1220,620,600,31,31,30,31,32
2023-pennsylvania-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1080,550,530,28,27,26.5,27,28
2023-pennsylvania-sat-suite-of-assessments-annual-report-ADA.pdf,25th,930,470,450,24,23,22.5,24,24
2023-puerto-rico-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1080,570,520,29,29,26,28,28
2023-puerto-rico-sat-suite-of-assessments-annual-report-ADA.pdf,50th,950,500,450,25,25,22.5,25,25
2023-puerto-rico-sat-suite-of-assessments-annual-report-ADA.pdf,25th,850,440,400,22,22,20,22,22
2023-rhode-island-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1090,560,540,28,29,27,28,28
2023-rhode-island-sat-suite-of-assessments-annual-report-ADA.pdf,50th,930,480,460,24,24,23,23,24
2023-rhode-island-sat-suite-of-assessments-annual-report-ADA.pdf,25th,790,400,380,21,20,19,20,21
2023-south-carolina-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1160,600,570,30,30,28.5,30,30
2023-south-carolina-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1020,520,500,26,26,25,26,26
2023-south-carolina-sat-suite-of-assessments-annual-report-ADA.pdf,25th,880,450,420,23,22,21,23,23
2023-south-dakota-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1370,690,690,35,34,34.5,35,34
2023-south-dakota-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1210,610,600,31,31,30,31,32
2023-south-dakota-sat-suite-of-assessments-annual-report-ADA.pdf,25th,1050,520,520,26,27,26,27,27
2023-tennessee-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1340,680,670,34,35,33.5,34,34
2023-tennessee-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1200,610,580,30,31,29.5,30,31
2023-tennessee-sat-suite-of-assessments-annual-report-ADA.pdf,25th,1060,540,510,27,27,25.5,27,27
2023-texas-sat-suite-of-assessments-annual-report-ADA.pdf,50th,950,490,470,25,24,23.5,25,24
2023-texas-sat-suite-of-assessments-annual-report-ADA.pdf,25th,820,420,400,21,21,20,21,21
2023-texas-sat-suite-of-assessments-annual-report-ADA.pdf,50th,920,470,450,24,23,22.5,23,23
2023-us-virgin-islands-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1040,550,500,28,28,25,28,27
2023-us-virgin-islands-sat-suite-of-assessments-annual-report-ADA.pdf,50th,890,480,420,24,24,21,24,23
2023-us-virgin-islands-sat-suite-of-assessments-annual-report-ADA.pdf,25th,790,420,370,21,21,18.5,21,20
2023-utah-sat-suite-of-assessments-annual-report%20ADA.pdf,75th,1380,700,700,35,35,35,35,35
2023-utah-sat-suite-of-assessments-annual-report%20ADA.pdf,50th,1250,630,620,31,32,31,32,32
2023-utah-sat-suite-of-assessments-annual-report%20ADA.pdf,25th,1110,550,540,27,28,27,28,28
2023-vermont-sat-suite-of-assessments-annual-report%20ADA.pdf,75th,1220,630,600,32,31,30,32,32
2023-vermont-sat-suite-of-assessments-annual-report%20ADA.pdf,50th,1090,560,530,28,28,26.5,28,28
2023-vermont-sat-suite-of-assessments-annual-report%20ADA.pdf,25th,970,490,470,25,24,23.5,25,25
2023-virginia-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1260,640,620,32,33,31,32,32
2023-virginia-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1110,570,540,29,28,27,29,29
2023-virginia-sat-suite-of-assessments-annual-report-ADA.pdf,25th,970,490,460,25,24,23,25,24
2023-washington-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1250,640,620,32,32,31,32,32
2023-washington-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1080,550,530,28,27,26.5,28,28
2023-washington-sat-suite-of-assessments-annual-report-ADA.pdf,25th,910,460,440,24,23,22,24,23
2023-west-virginia-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1040,540,510,27,27,25.5,27,27
2023-west-virginia-sat-suite-of-assessments-annual-report-ADA.pdf,50th,900,470,430,24,23,21.5,24,23
2023-west-virginia-sat-suite-of-assessments-annual-report-ADA.pdf,25th,790,410,370,21,19,18.5,21,20
2023-wisconsin-sat-suite-of-assessments-annual-report-ADA.pdf,75th,1410,700,720,35,35,36,35,35
2023-wisconsin-sat-suite-of-assessments-annual-report-ADA.pdf,50th,1260,630,630,31,32,31.5,32,32
2023-wisconsin-sat-suite-of-assessments-annual-report-ADA.pdf,25th,1090,550,540,26,28,27,27,28
2023-wyoming-sat-suite-of-assessments-annual-report-in-progress.pdf,75th,1330,670,660,34,33,33,34,34
2023-wyoming-sat-suite-of-assessments-annual-report-in-progress.pdf,50th,1200,600,590,30,31,29.5,30,31
2023-wyoming-sat-suite-of-assessments-annual-report-in-progress.pdf,25th,1060,520,530,27,26,26.5,27,27
